year,period_end_date,is_partial_year,object_class,appeared_count,ended_count,present_any_time_count,present_at_period_end_count
2015,2015-12-31,0,component,46,41,1400,1359
2015,2015-12-31,0,debris,749,329,11675,11346
2015,2015-12-31,0,unknown,0,0,0,0
2015,2015-12-31,0,spurious,0,0,0,0
2016,2016-12-31,0,all,463,298,18543,18245
2016,2016-12-31,0,payload,221,91,3894,3803
2016,2016-12-31,0,rocket_body,75,42,1777,1735
2016,2016-12-31,0,component,54,42,1413,1371
2016,2016-12-31,0,debris,113,123,11459,11336
2016,2016-12-31,0,unknown,0,0,0,0
2016,2016-12-31,0,spurious,0,0,0,0
2017,2017-12-31,0,all,595,221,18840,18619
2017,2017-12-31,0,payload,456,70,4259,4189
2017,2017-12-31,0,rocket_body,68,37,1803,1766
2017,2017-12-31,0,component,55,28,1426,1398
2017,2017-12-31,0,debris,16,86,11352,11266
2017,2017-12-31,0,unknown,0,0,0,0
2017,2017-12-31,0,spurious,0,0,0,0
2018,2018-12-31,0,all,841,266,19460,19194
2018,2018-12-31,0,payload,450,124,4639,4515
2018,2018-12-31,0,rocket_body,96,35,1862,1827
2018,2018-12-31,0,component,86,35,1484,1449
2018,2018-12-31,0,debris,209,72,11475,11403
2018,2018-12-31,0,unknown,0,0,0,0
2018,2018-12-31,0,spurious,0,0,0,0
2019,2019-12-31,0,all,1081,339,20275,19936
2019,2019-12-31,0,payload,459,91,4974,4883
2019,2019-12-31,0,rocket_body,85,57,1912,1855
2019,2019-12-31,0,component,45,24,1494,1470
2019,2019-12-31,0,debris,491,167,11894,11727
2019,2019-12-31,0,unknown,0,0,0,0
2019,2019-12-31,0,spurious,1,0,1,1
2020,2020-12-31,0,all,2164,441,22100,21659
2020,2020-12-31,0,payload,1274,122,6157,6035
2020,2020-12-31,0,rocket_body,72,50,1927,1877
2020,2020-12-31,0,component,100,86,1570,1484
2020,2020-12-31,0,debris,718,182,12445,12263
2020,2020-12-31,0,unknown,0,0,0,0
2020,2020-12-31,0,spurious,0,1,1,0
2021,2021-12-31,0,all,4065,548,25724,25176
2021,2021-12-31,0,payload,1805,177,7840,7663
2021,2021-12-31,0,rocket_body,91,60,1968,1908
2021,2021-12-31,0,component,111,85,1595,1510
2021,2021-12-31,0,debris,2058,226,14321,14095
2021,2021-12-31,0,unknown,0,0,0,0
2021,2021-12-31,0,spurious,0,0,0,0
2022,2022-12-31,0,all,3614,2511,28790,26279
2022,2022-12-31,0,payload,2439,384,10102,9718
2022,2022-12-31,0,rocket_body,111,71,2019,1948
2022,2022-12-31,0,component,209,231,1719,1488
2022,2022-12-31,0,debris,855,1825,14950,13125
2022,2022-12-31,0,unknown,0,0,0,0
2022,2022-12-31,0,spurious,0,0,0,0
2023,2023-12-31,0,all,3277,2081,29556,27475
2023,2023-12-31,0,payload,2900,684,12618,11934
2023,2023-12-31,0,rocket_body,120,92,2068,1976
2023,2023-12-31,0,component,144,201,1632,1431
2023,2023-12-31,0,debris,113,1104,13238,12134
2023,2023-12-31,0,unknown,0,0,0,0
2023,2023-12-31,0,spurious,0,0,0,0
2024,2024-12-31,0,all,3798,2241,31273,29032
2024,2024-12-31,0,payload,2832,1122,14766,13644
2024,2024-12-31,0,rocket_body,128,123,2104,1981
2024,2024-12-31,0,component,29,89,1460,1371
2024,2024-12-31,0,debris,808,907,12942,12035
2024,2024-12-31,0,unknown,0,0,0,0
2024,2024-12-31,0,spurious,1,0,1,1
2025,2025-12-31,0,all,4680,1968,33712,31744
2025,2025-12-31,0,payload,4506,1187,18150,16963
2025,2025-12-31,0,rocket_body,143,110,2124,2014
2025,2025-12-31,0,component,22,41,1393,1352
2025,2025-12-31,0,debris,8,628,12043,11415
2025,2025-12-31,0,unknown,0,0,0,0
2025,2025-12-31,0,spurious,1,2,2,0
2026,2026-06-27,1,all,2405,658,34149,33491
2026,2026-06-27,1,payload,2314,435,19277,18842
2026,2026-06-27,1,rocket_body,64,52,2078,2026
2026,2026-06-27,1,component,13,20,1365,1345
2026,2026-06-27,1,debris,14,151,11429,11278
2026,2026-06-27,1,unknown,0,0,0,0
2026,2026-06-27,1,spurious,0,0,0,0
